# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    2.006672e-03 2.730547e-04   1.358661e-03 2.730547e-04  -1.753186e+01 1.041727e+00  0.001996
1e4    1.940855e-02 3.817588e-04   1.292827e-02 3.817588e-04  -1.750661e+01 2.232068e-01  0.019571
1e5    1.973476e-01 2.374999e-03   1.325288e-01 2.374999e-03  -1.749827e+01 8.640334e-02  0.177839
1e6    1.904670e+00 1.237460e-02   1.254927e+00 1.237460e-02  -1.783608e+01 5.882809e-02  0.546569
1e7    1.391362e+01 3.648589e-02   7.320019e+00 3.648589e-02  -1.981481e+01 7.612534e-02  0.569456
1e8    4.103234e+01 1.146006e-01  -8.355863e+00 1.146006e-01  -2.489326e+01 2.055543e-01  0.379201
1e9    6.386819e+01 1.679033e-01  -3.980619e+01 1.679033e-01  -2.894722e+01 7.044500e-01  0.255248
1e10   7.831142e+01 1.296015e-01  -4.071738e+01 1.296015e-01  -2.660595e+01 1.050732e+00  0.213782
1e11   8.734554e+01 1.849528e-01  -3.365384e+01 1.849528e-01  -1.603363e+01 8.346141e-01  0.252830
1e12   9.421430e+01 1.726300e-01  -2.698845e+01 1.726300e-01  -9.093182e+00 3.313711e+00  0.291664
1e13   1.010560e+02 3.219980e-01  -2.016712e+01 3.219980e-01  -3.896618e+00 2.782782e+00  0.283198
1e14   1.069835e+02 4.393057e-01  -1.424164e+01 4.393057e-01   2.618214e+00 3.809295e+00  0.302656
1e15   1.113327e+02 1.619436e-01  -9.892648e+00 1.619436e-01   7.208505e+00 2.024994e+00  0.302387
