# msd, number of counts: 4388001
# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
# column 6: number of samples [-]
0.005 1.0863627652293375e-25 2.739106991735038e-26 5.352665408345551e-26 2.771855252212786e-26 (count: 4388000)
0.01 1.1858256155595846e-25 3.0446611206205136e-26 5.70106599645741e-26 3.112529038517922e-26 (count: 4387999)
0.015 1.2906446730774322e-25 3.372246505194747e-26 6.058407338894633e-26 3.4757928866849425e-26 (count: 4387998)
0.02 1.4019859855549895e-25 3.717890197822705e-26 6.42732219375955e-26 3.874647463967639e-26 (count: 4387997)
0.025 1.5189626184519115e-25 4.088186899214925e-26 6.810140103407658e-26 4.2912991818965323e-26 (count: 4387996)
0.03 1.6419449222215103e-25 4.477146252054138e-26 7.201887125129144e-26 4.740415845031821e-26 (count: 4387995)
0.035 1.7698545933146838e-25 4.886233227195651e-26 7.600786063732976e-26 5.211526642218209e-26 (count: 4387994)
0.04 1.904119989598448e-25 5.314243047350727e-26 8.015475560349401e-26 5.71148128828435e-26 (count: 4387993)
0.045 2.043232688592173e-25 5.766185639365285e-26 8.428079523602628e-26 6.238061722953817e-26 (count: 4387992)
0.05 2.189741248807954e-25 6.232976081767246e-26 8.868456961880226e-26 6.795979444432065e-26 (count: 4387991)
0.055 2.3407522684973525e-25 6.7212177299923e-26 9.311638807039901e-26 7.374666147941323e-26 (count: 4387990)
0.06 2.497746948299818e-25 7.234379327469397e-26 9.762640162362908e-26 7.980449993165876e-26 (count: 4387989)
0.065 2.660525176918776e-25 7.761973973070549e-26 1.0228722635637298e-25 8.614555160479911e-26 (count: 4387988)
0.07 2.829877351236038e-25 8.316616406887279e-26 1.0704087449205581e-25 9.27806965626752e-26 (count: 4387987)
0.075 3.0056395141889696e-25 8.8881841384646e-26 1.1202355516306163e-25 9.965855487118932e-26 (count: 4387986)
0.08 3.1855730248580183e-25 9.483106065848801e-26 1.1693251123378743e-25 1.0679373059352636e-25 (count: 4387985)
0.085 3.3714142671577697e-25 1.009387261051604e-25 1.2200695952189865e-25 1.141957410887179e-25 (count: 4387984)
0.09 3.5632582850227086e-25 1.0726547857872114e-25 1.2719211806369256e-25 1.2186823185985717e-25 (count: 4387983)
0.095 3.7614239786742376e-25 1.1381881269890405e-25 1.3248127878927115e-25 1.2984230637924854e-25 (count: 4387982)
0.1 3.965076486436151e-25 1.205740900590498e-25 1.3786174794210013e-25 1.3807181064246518e-25 (count: 4387981)
0.105 4.1744916006677685e-25 1.275263228075322e-25 1.4336721006714797e-25 1.4655562719209664e-25 (count: 4387980)
0.11 4.389368822896584e-25 1.346403795341927e-25 1.4897694062867986e-25 1.5531956212678587e-25 (count: 4387979)
0.115 4.611148166196509e-25 1.4201305397379844e-25 1.547734701345817e-25 1.6432829251127075e-25 (count: 4387978)
0.12 4.837109444747355e-25 1.495535892408403e-25 1.6052265923420314e-25 1.7363469599969204e-25 (count: 4387977)
0.125 5.075069921078846e-25 1.5787817138273898e-25 1.6624980575094043e-25 1.8337901497420519e-25 (count: 175519)
0.25 1.278408595754788e-24 4.186446037713016e-25 3.4968760779643037e-25 5.100763841870559e-25 (count: 175518)
0.375 2.4122970490561418e-24 8.072055465065741e-25 6.002745403447776e-25 1.0048169622047899e-24 (count: 175517)
0.5 3.9105527763343055e-24 1.3237747732109466e-24 9.189984157806553e-25 1.6677795873427037e-24 (count: 175516)
0.625 5.773453773611527e-24 1.9680539670513503e-24 1.3053343415130016e-24 2.500065465047175e-24 (count: 175515)
0.75 7.998634204315104e-24 2.7393483843768203e-24 1.7582203540260767e-24 3.5010654659122085e-24 (count: 175514)
0.875 1.0588075556110252e-23 3.6392721717094555e-24 2.278649427117674e-24 4.6701539572831225e-24 (count: 175513)
1 1.3541039248892104e-23 4.666720124046628e-24 2.8672122355912427e-24 6.007106889254232e-24 (count: 175512)
1.125 1.6857314221854258e-23 5.821953128650501e-24 3.522766845023789e-24 7.512594248179969e-24 (count: 175511)
1.25 2.053532869232378e-23 7.104473160193852e-24 4.2447635496400495e-24 9.18609198248988e-24 (count: 175510)
1.375 2.457722908721003e-23 8.515107193761746e-24 5.033018351114289e-24 1.1029103542333996e-23 (count: 175509)
1.5 2.898159188877636e-23 1.0053166295385257e-23 5.8886722780222255e-24 1.303975331536888e-23 (count: 175508)
1.625 3.3750794879297133e-23 1.1718838910465353e-23 6.812126087824172e-24 1.5219829881007608e-23 (count: 175507)
1.75 3.8883894354284495e-23 1.3512665234638735e-23 7.802684576163265e-24 1.7568544543482496e-23 (count: 175506)
1.875 4.4379507452187036e-23 1.543448096074614e-23 8.859510663047871e-24 2.0085515828393023e-23 (count: 175505)
2 5.0239674574894425e-23 1.7484423356112306e-23 9.98398573377509e-24 2.277126548500703e-23 (count: 175504)
