# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    1.978000e-03 1.029930e-04   1.329989e-03 1.029930e-04  -1.741299e+01 2.058321e-01  0.001991
1e4    2.006600e-02 4.350976e-04   1.358573e-02 4.350976e-04  -1.742270e+01 5.743061e-02  0.019345
1e5    2.015720e-01 8.717767e-04   1.367531e-01 8.717767e-04  -1.747191e+01 3.690087e-02  0.166267
1e6    1.939281e+00 8.226504e-03   1.289538e+00 8.226504e-03  -1.775512e+01 3.622931e-02  0.503268
1e7    1.422405e+01 2.045873e-02   7.630451e+00 2.045873e-02  -1.985385e+01 1.980410e-02  0.520425
1e8    4.159702e+01 3.953093e-02  -7.791192e+00 3.953093e-02  -2.499721e+01 8.088213e-02  0.227188
1e9    6.448492e+01 7.228775e-02  -3.918946e+01 7.228775e-02  -2.955910e+01 2.535478e-01  0.054288
1e10   7.904961e+01 5.402184e-02  -3.997919e+01 5.402184e-02  -2.709357e+01 5.515957e-01  0.011685
1e11   8.797910e+01 2.105793e-01  -3.302028e+01 2.105793e-01  -1.731511e+01 1.253868e+00  0.002827
1e12   9.504767e+01 9.883747e-02  -2.615507e+01 9.883747e-02  -9.785619e+00 2.418568e+00  0.000784
1e13   1.017643e+02 2.819208e-01  -1.945887e+01 2.819208e-01  -2.799387e+00 2.576772e+00  0.000222
1e14   1.075180e+02 5.026054e-01  -1.370717e+01 5.026054e-01   1.408792e+00 4.320386e+00  0.000064
1e15   1.124190e+02 2.577907e-01  -8.806370e+00 2.577907e-01   9.683734e+00 2.746728e+00  0.000019
